"","interact_id","treksoft_pid","treksoft_uid","ethica_id","sd_id_1","sd_firmware_1","sd_start_1","sd_end_1","sd_id_2","sd_firmware_2","sd_start_2","sd_end_2","dropout","data_disposition","test","plg_id","wave"
"235",201334013,"228","230",5235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"236",201339017,"522","524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"237",201341664,"250","252",5278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"238",201345415,"645","647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"239",201348213,"36","38",5389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"240",201350206,"829","831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"241",201351870,"116","118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"242",201355341,"292","294",5397,495,2106,2018-06-16,2018-06-25,NA,NA,NA,NA,NA,NA,0,NA,1
"243",201356295,"801","803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"244",201359238,"76","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"245",201361457,"428","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"246",201362469,"811","813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"247",201363494,"823","825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"248",201365313,"328","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"249",201366093,"472","474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"250",201370752,"289","291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"251",201371808,"46","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"252",201378195,"878","880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"253",201378690,"619","621",5932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"254",201384523,"24","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"255",201385664,"468","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"256",201391507,"446","448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"257",201392732,"387","389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"258",201406533,"893","895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"259",201410868,"871","873",6370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"260",201412100,"690","692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"261",201419888,"862","864",6239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"262",201424779,"88","90",5275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"263",201425349,"490","492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"264",201428159,"839","841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
